instant,season_x,year_x,month_x,holiday_x,weekday_x,workingday_x,weather_x,casual_x,registered_x,count_x,status,season_y,year_y,month_y,hour,holiday_y,weekday_y,workingday_y,weather_y,casual_y,registered_y,count_y,count_group
38,Spring,2011,Feb,0,Monday,1,Clear,120,1592,1712,Non Active,Spring,2011,Jan,14,0,Sunday,0,Light_RainSnow,4,55,59,registered
39,Spring,2011,Feb,0,Tuesday,1,Clear,64,1466,1530,Non Active,Spring,2011,Jan,15,0,Sunday,0,Light_RainSnow,19,55,74,registered
40,Spring,2011,Feb,0,Wednesday,1,Misty,53,1552,1605,Non Active,Spring,2011,Jan,16,0,Sunday,0,Light_RainSnow,9,67,76,registered
41,Spring,2011,Feb,0,Thursday,1,Clear,47,1491,1538,Non Active,Spring,2011,Jan,17,0,Sunday,0,Clear,7,58,65,registered
42,Spring,2011,Feb,0,Friday,1,Clear,149,1597,1746,Non Active,Spring,2011,Jan,18,0,Sunday,0,Misty,10,43,53,registered
43,Spring,2011,Feb,0,Saturday,0,Clear,288,1184,1472,Non Active,Spring,2011,Jan,19,0,Sunday,0,Clear,1,29,30,registered
44,Spring,2011,Feb,0,Sunday,0,Clear,397,1192,1589,Non Active,Spring,2011,Jan,20,0,Sunday,0,Clear,5,17,22,registered
45,Spring,2011,Feb,0,Monday,1,Clear,208,1705,1913,Non Active,Spring,2011,Jan,21,0,Sunday,0,Clear,11,20,31,registered
46,Spring,2011,Feb,0,Tuesday,1,Clear,140,1675,1815,Non Active,Spring,2011,Jan,22,0,Sunday,0,Clear,0,9,9,registered
47,Spring,2011,Feb,0,Wednesday,1,Clear,218,1897,2115,Non Active,Spring,2011,Jan,23,0,Sunday,0,Clear,0,8,8,registered
48,Spring,2011,Feb,0,Thursday,1,Clear,259,2216,2475,Non Active,Spring,2011,Jan,0,0,Monday,1,Clear,0,5,5,registered
49,Spring,2011,Feb,0,Friday,1,Clear,579,2348,2927,Non Active,Spring,2011,Jan,1,0,Monday,1,Clear,0,2,2,registered
50,Spring,2011,Feb,0,Saturday,0,Clear,532,1103,1635,Non Active,Spring,2011,Jan,4,0,Monday,1,Clear,0,1,1,registered
51,Spring,2011,Feb,0,Sunday,0,Clear,639,1173,1812,Non Active,Spring,2011,Jan,5,0,Monday,1,Clear,0,3,3,registered
52,Spring,2011,Feb,1,Monday,0,Misty,195,912,1107,Non Active,Spring,2011,Jan,6,0,Monday,1,Clear,0,30,30,registered
53,Spring,2011,Feb,0,Tuesday,1,Clear,74,1376,1450,Non Active,Spring,2011,Jan,7,0,Monday,1,Clear,1,63,64,registered
54,Spring,2011,Feb,0,Wednesday,1,Clear,139,1778,1917,Non Active,Spring,2011,Jan,8,0,Monday,1,Clear,1,153,154,registered
55,Spring,2011,Feb,0,Thursday,1,Misty,100,1707,1807,Non Active,Spring,2011,Jan,9,0,Monday,1,Clear,7,81,88,registered
56,Spring,2011,Feb,0,Friday,1,Misty,120,1341,1461,Non Active,Spring,2011,Jan,10,0,Monday,1,Clear,11,33,44,registered
57,Spring,2011,Feb,0,Saturday,0,Clear,424,1545,1969,Non Active,Spring,2011,Jan,11,0,Monday,1,Clear,10,41,51,registered
58,Spring,2011,Feb,0,Sunday,0,Clear,694,1708,2402,Non Active,Spring,2011,Jan,12,0,Monday,1,Clear,13,48,61,registered
59,Spring,2011,Feb,0,Monday,1,Misty,81,1365,1446,Non Active,Spring,2011,Jan,13,0,Monday,1,Clear,8,53,61,registered
60,Spring,2011,Mar,0,Tuesday,1,Clear,137,1714,1851,Non Active,Spring,2011,Jan,14,0,Monday,1,Clear,11,66,77,registered
61,Spring,2011,Mar,0,Wednesday,1,Clear,231,1903,2134,Non Active,Spring,2011,Jan,15,0,Monday,1,Clear,14,58,72,registered
62,Spring,2011,Mar,0,Thursday,1,Clear,123,1562,1685,Non Active,Spring,2011,Jan,16,0,Monday,1,Clear,9,67,76,registered
63,Spring,2011,Mar,0,Friday,1,Misty,214,1730,1944,Non Active,Spring,2011,Jan,17,0,Monday,1,Clear,11,146,157,registered
64,Spring,2011,Mar,0,Saturday,0,Misty,640,1437,2077,Non Active,Spring,2011,Jan,18,0,Monday,1,Clear,9,148,157,registered
65,Spring,2011,Mar,0,Sunday,0,Misty,114,491,605,Non Active,Spring,2011,Jan,19,0,Monday,1,Clear,8,102,110,registered
66,Spring,2011,Mar,0,Monday,1,Clear,244,1628,1872,Non Active,Spring,2011,Jan,20,0,Monday,1,Clear,3,49,52,registered
67,Spring,2011,Mar,0,Tuesday,1,Clear,316,1817,2133,Non Active,Spring,2011,Jan,21,0,Monday,1,Clear,3,49,52,registered
68,Spring,2011,Mar,0,Wednesday,1,Misty,191,1700,1891,Non Active,Spring,2011,Jan,22,0,Monday,1,Clear,0,20,20,registered
69,Spring,2011,Mar,0,Thursday,1,Light_RainSnow,46,577,623,Non Active,Spring,2011,Jan,23,0,Monday,1,Clear,1,11,12,registered
70,Spring,2011,Mar,0,Friday,1,Misty,247,1730,1977,Non Active,Spring,2011,Jan,0,0,Tuesday,1,Clear,0,5,5,registered
71,Spring,2011,Mar,0,Saturday,0,Clear,724,1408,2132,Non Active,Spring,2011,Jan,1,0,Tuesday,1,Clear,0,2,2,registered
72,Spring,2011,Mar,0,Sunday,0,Clear,982,1435,2417,Non Active,Spring,2011,Jan,2,0,Tuesday,1,Clear,0,1,1,registered
73,Spring,2011,Mar,0,Monday,1,Clear,359,1687,2046,Non Active,Spring,2011,Jan,4,0,Tuesday,1,Clear,0,2,2,registered
74,Spring,2011,Mar,0,Tuesday,1,Misty,289,1767,2056,Non Active,Spring,2011,Jan,5,0,Tuesday,1,Clear,0,4,4,registered
75,Spring,2011,Mar,0,Wednesday,1,Misty,321,1871,2192,Non Active,Spring,2011,Jan,6,0,Tuesday,1,Clear,0,36,36,registered
76,Spring,2011,Mar,0,Thursday,1,Clear,424,2320,2744,Non Active,Spring,2011,Jan,7,0,Tuesday,1,Clear,2,92,94,registered
77,Spring,2011,Mar,0,Friday,1,Clear,884,2355,3239,Non Active,Spring,2011,Jan,8,0,Tuesday,1,Clear,2,177,179,registered
78,Spring,2011,Mar,0,Saturday,0,Clear,1424,1693,3117,Non Active,Spring,2011,Jan,9,0,Tuesday,1,Clear,2,98,100,registered
79,Spring,2011,Mar,0,Sunday,0,Clear,1047,1424,2471,Non Active,Spring,2011,Jan,10,0,Tuesday,1,Misty,5,37,42,registered
80,Summer,2011,Mar,0,Monday,1,Misty,401,1676,2077,Non Active,Spring,2011,Jan,11,0,Tuesday,1,Clear,7,50,57,registered
81,Summer,2011,Mar,0,Tuesday,1,Clear,460,2243,2703,Non Active,Spring,2011,Jan,12,0,Tuesday,1,Clear,12,66,78,registered
82,Summer,2011,Mar,0,Wednesday,1,Misty,203,1918,2121,Non Active,Spring,2011,Jan,13,0,Tuesday,1,Clear,18,79,97,registered
83,Summer,2011,Mar,0,Thursday,1,Misty,166,1699,1865,Non Active,Spring,2011,Jan,14,0,Tuesday,1,Clear,9,54,63,registered
84,Summer,2011,Mar,0,Friday,1,Clear,300,1910,2210,Non Active,Spring,2011,Jan,15,0,Tuesday,1,Clear,17,48,65,registered
85,Summer,2011,Mar,0,Saturday,0,Clear,981,1515,2496,Non Active,Spring,2011,Jan,16,0,Tuesday,1,Clear,15,68,83,registered
86,Summer,2011,Mar,0,Sunday,0,Misty,472,1221,1693,Non Active,Spring,2011,Jan,17,0,Tuesday,1,Clear,10,202,212,registered
87,Summer,2011,Mar,0,Monday,1,Clear,222,1806,2028,Non Active,Spring,2011,Jan,18,0,Tuesday,1,Clear,3,179,182,registered
88,Summer,2011,Mar,0,Tuesday,1,Clear,317,2108,2425,Non Active,Spring,2011,Jan,19,0,Tuesday,1,Clear,2,110,112,registered
89,Summer,2011,Mar,0,Wednesday,1,Misty,168,1368,1536,Non Active,Spring,2011,Jan,20,0,Tuesday,1,Clear,1,53,54,registered
90,Summer,2011,Mar,0,Thursday,1,Light_RainSnow,179,1506,1685,Non Active,Spring,2011,Jan,21,0,Tuesday,1,Clear,0,48,48,registered
91,Summer,2011,Apr,0,Friday,1,Misty,307,1920,2227,Non Active,Spring,2011,Jan,22,0,Tuesday,1,Clear,1,34,35,registered
92,Summer,2011,Apr,0,Saturday,0,Misty,898,1354,2252,Non Active,Spring,2011,Jan,23,0,Tuesday,1,Clear,2,9,11,registered
93,Summer,2011,Apr,0,Sunday,0,Clear,1651,1598,3249,Non Active,Spring,2011,Jan,0,0,Wednesday,1,Clear,0,6,6,registered
94,Summer,2011,Apr,0,Monday,1,Clear,734,2381,3115,Non Active,Spring,2011,Jan,1,0,Wednesday,1,Clear,0,6,6,registered
95,Summer,2011,Apr,0,Tuesday,1,Misty,167,1628,1795,Non Active,Spring,2011,Jan,2,0,Wednesday,1,Clear,0,2,2,registered
96,Summer,2011,Apr,0,Wednesday,1,Clear,413,2395,2808,Non Active,Spring,2011,Jan,4,0,Wednesday,1,Clear,0,2,2,registered
97,Summer,2011,Apr,0,Thursday,1,Clear,571,2570,3141,Non Active,Spring,2011,Jan,5,0,Wednesday,1,Clear,0,3,3,registered
98,Summer,2011,Apr,0,Friday,1,Misty,172,1299,1471,Non Active,Spring,2011,Jan,6,0,Wednesday,1,Clear,0,33,33,registered
99,Summer,2011,Apr,0,Saturday,0,Misty,879,1576,2455,Non Active,Spring,2011,Jan,7,0,Wednesday,1,Clear,1,87,88,registered
100,Summer,2011,Apr,0,Sunday,0,Misty,1188,1707,2895,Non Active,Spring,2011,Jan,8,0,Wednesday,1,Clear,3,192,195,registered
101,Summer,2011,Apr,0,Monday,1,Misty,855,2493,3348,Non Active,Spring,2011,Jan,9,0,Wednesday,1,Clear,6,109,115,registered
102,Summer,2011,Apr,0,Tuesday,1,Misty,257,1777,2034,Non Active,Spring,2011,Jan,10,0,Wednesday,1,Clear,4,53,57,registered
103,Summer,2011,Apr,0,Wednesday,1,Misty,209,1953,2162,Non Active,Spring,2011,Jan,11,0,Wednesday,1,Clear,12,34,46,registered
104,Summer,2011,Apr,0,Thursday,1,Clear,529,2738,3267,Non Active,Spring,2011,Jan,12,0,Wednesday,1,Clear,5,74,79,registered
105,Summer,2011,Apr,1,Friday,0,Clear,642,2484,3126,Non Active,Spring,2011,Jan,13,0,Wednesday,1,Clear,6,65,71,registered
106,Summer,2011,Apr,0,Saturday,0,Light_RainSnow,121,674,795,Non Active,Spring,2011,Jan,14,0,Wednesday,1,Clear,10,52,62,registered
107,Summer,2011,Apr,0,Sunday,0,Clear,1558,2186,3744,Non Active,Spring,2011,Jan,15,0,Wednesday,1,Clear,7,55,62,registered
108,Summer,2011,Apr,0,Monday,1,Clear,669,2760,3429,Non Active,Spring,2011,Jan,16,0,Wednesday,1,Clear,4,85,89,registered
109,Summer,2011,Apr,0,Tuesday,1,Misty,409,2795,3204,Non Active,Spring,2011,Jan,17,0,Wednesday,1,Clear,4,186,190,registered
110,Summer,2011,Apr,0,Wednesday,1,Clear,613,3331,3944,Non Active,Spring,2011,Jan,18,0,Wednesday,1,Clear,3,166,169,registered
111,Summer,2011,Apr,0,Thursday,1,Clear,745,3444,4189,Non Active,Spring,2011,Jan,19,0,Wednesday,1,Clear,5,127,132,registered
112,Summer,2011,Apr,0,Friday,1,Misty,177,1506,1683,Non Active,Spring,2011,Jan,20,0,Wednesday,1,Clear,7,82,89,registered
113,Summer,2011,Apr,0,Saturday,0,Misty,1462,2574,4036,Non Active,Spring,2011,Jan,21,0,Wednesday,1,Clear,3,40,43,registered
114,Summer,2011,Apr,0,Sunday,0,Misty,1710,2481,4191,Non Active,Spring,2011,Jan,22,0,Wednesday,1,Clear,1,41,42,registered
115,Summer,2011,Apr,0,Monday,1,Clear,773,3300,4073,Non Active,Spring,2011,Jan,23,0,Wednesday,1,Clear,1,18,19,registered
116,Summer,2011,Apr,0,Tuesday,1,Clear,678,3722,4400,Non Active,Spring,2011,Jan,0,0,Thursday,1,Clear,0,11,11,registered
117,Summer,2011,Apr,0,Wednesday,1,Misty,547,3325,3872,Non Active,Spring,2011,Jan,1,0,Thursday,1,Clear,0,4,4,registered
118,Summer,2011,Apr,0,Thursday,1,Misty,569,3489,4058,Non Active,Spring,2011,Jan,2,0,Thursday,1,Clear,0,2,2,registered
119,Summer,2011,Apr,0,Friday,1,Clear,878,3717,4595,Non Active,Spring,2011,Jan,4,0,Thursday,1,Misty,0,1,1,registered
120,Summer,2011,Apr,0,Saturday,0,Clear,1965,3347,5312,Non Active,Spring,2011,Jan,5,0,Thursday,1,Misty,0,4,4,registered
121,Summer,2011,May,0,Sunday,0,Misty,1138,2213,3351,Non Active,Spring,2011,Jan,6,0,Thursday,1,Misty,0,36,36,registered
122,Summer,2011,May,0,Monday,1,Misty,847,3554,4401,Non Active,Spring,2011,Jan,7,0,Thursday,1,Misty,0,95,95,registered
123,Summer,2011,May,0,Tuesday,1,Misty,603,3848,4451,Non Active,Spring,2011,Jan,8,0,Thursday,1,Clear,3,216,219,registered
124,Summer,2011,May,0,Wednesday,1,Misty,255,2378,2633,Non Active,Spring,2011,Jan,9,0,Thursday,1,Misty,6,116,122,registered
125,Summer,2011,May,0,Thursday,1,Clear,614,3819,4433,Non Active,Spring,2011,Jan,10,0,Thursday,1,Clear,3,42,45,registered
126,Summer,2011,May,0,Friday,1,Clear,894,3714,4608,Non Active,Spring,2011,Jan,11,0,Thursday,1,Clear,2,57,59,registered
127,Summer,2011,May,0,Saturday,0,Clear,1612,3102,4714,Non Active,Spring,2011,Jan,12,0,Thursday,1,Clear,6,78,84,registered
128,Summer,2011,May,0,Sunday,0,Clear,1401,2932,4333,Non Active,Spring,2011,Jan,13,0,Thursday,1,Clear,12,55,67,registered
129,Summer,2011,May,0,Monday,1,Clear,664,3698,4362,Non Active,Spring,2011,Jan,14,0,Thursday,1,Clear,11,59,70,registered
130,Summer,2011,May,0,Tuesday,1,Clear,694,4109,4803,Non Active,Spring,2011,Jan,15,0,Thursday,1,Clear,8,54,62,registered
131,Summer,2011,May,0,Wednesday,1,Clear,550,3632,4182,Non Active,Spring,2011,Jan,16,0,Thursday,1,Clear,12,74,86,registered
132,Summer,2011,May,0,Thursday,1,Clear,695,4169,4864,Non Active,Spring,2011,Jan,17,0,Thursday,1,Clear,9,163,172,registered
133,Summer,2011,May,0,Friday,1,Misty,692,3413,4105,Non Active,Spring,2011,Jan,18,0,Thursday,1,Clear,5,158,163,registered
134,Summer,2011,May,0,Saturday,0,Misty,902,2507,3409,Non Active,Spring,2011,Jan,19,0,Thursday,1,Clear,3,109,112,registered
135,Summer,2011,May,0,Sunday,0,Misty,1582,2971,4553,Non Active,Spring,2011,Jan,20,0,Thursday,1,Clear,3,66,69,registered
136,Summer,2011,May,0,Monday,1,Clear,773,3185,3958,Non Active,Spring,2011,Jan,21,0,Thursday,1,Misty,0,48,48,registered
137,Summer,2011,May,0,Tuesday,1,Misty,678,3445,4123,Non Active,Spring,2011,Jan,22,0,Thursday,1,Misty,1,51,52,registered
138,Summer,2011,May,0,Wednesday,1,Misty,536,3319,3855,Non Active,Spring,2011,Jan,23,0,Thursday,1,Misty,4,19,23,registered
139,Summer,2011,May,0,Thursday,1,Misty,735,3840,4575,Non Active,Spring,2011,Jan,0,0,Friday,1,Misty,4,13,17,registered
140,Summer,2011,May,0,Friday,1,Clear,909,4008,4917,Non Active,Spring,2011,Jan,1,0,Friday,1,Misty,2,5,7,registered
141,Summer,2011,May,0,Saturday,0,Clear,2258,3547,5805,Non Active,Spring,2011,Jan,2,0,Friday,1,Misty,0,1,1,registered
142,Summer,2011,May,0,Sunday,0,Clear,1576,3084,4660,Non Active,Spring,2011,Jan,4,0,Friday,1,Misty,0,1,1,registered
143,Summer,2011,May,0,Monday,1,Misty,836,3438,4274,Non Active,Spring,2011,Jan,5,0,Friday,1,Light_RainSnow,0,5,5,registered
144,Summer,2011,May,0,Tuesday,1,Misty,659,3833,4492,Non Active,Spring,2011,Jan,6,0,Friday,1,Misty,8,26,34,registered
145,Summer,2011,May,0,Wednesday,1,Clear,740,4238,4978,Non Active,Spring,2011,Jan,7,0,Friday,1,Clear,8,76,84,registered
146,Summer,2011,May,0,Thursday,1,Clear,758,3919,4677,Non Active,Spring,2011,Jan,8,0,Friday,1,Clear,20,190,210,registered
147,Summer,2011,May,0,Friday,1,Clear,871,3808,4679,Non Active,Spring,2011,Jan,9,0,Friday,1,Clear,9,125,134,registered
148,Summer,2011,May,0,Saturday,0,Clear,2001,2757,4758,Non Active,Spring,2011,Jan,10,0,Friday,1,Clear,16,47,63,registered
149,Summer,2011,May,0,Sunday,0,Clear,2355,2433,4788,Non Active,Spring,2011,Jan,11,0,Friday,1,Misty,19,48,67,registered
150,Summer,2011,May,1,Monday,0,Clear,1549,2549,4098,Non Active,Spring,2011,Jan,12,0,Friday,1,Misty,9,50,59,registered
151,Summer,2011,May,0,Tuesday,1,Clear,673,3309,3982,Non Active,Spring,2011,Jan,13,0,Friday,1,Misty,9,64,73,registered
152,Summer,2011,Jun,0,Wednesday,1,Misty,513,3461,3974,Non Active,Spring,2011,Jan,14,0,Friday,1,Misty,7,43,50,registered
153,Summer,2011,Jun,0,Thursday,1,Clear,736,4232,4968,Non Active,Spring,2011,Jan,15,0,Friday,1,Misty,9,63,72,registered
154,Summer,2011,Jun,0,Friday,1,Clear,898,4414,5312,Non Active,Spring,2011,Jan,16,0,Friday,1,Misty,5,82,87,registered
155,Summer,2011,Jun,0,Saturday,0,Clear,1869,3473,5342,Non Active,Spring,2011,Jan,17,0,Friday,1,Misty,9,178,187,registered
156,Summer,2011,Jun,0,Sunday,0,Misty,1685,3221,4906,Non Active,Spring,2011,Jan,18,0,Friday,1,Clear,7,116,123,registered
157,Summer,2011,Jun,0,Monday,1,Clear,673,3875,4548,Non Active,Spring,2011,Jan,19,0,Friday,1,Clear,3,92,95,registered
158,Summer,2011,Jun,0,Tuesday,1,Clear,763,4070,4833,Non Active,Spring,2011,Jan,20,0,Friday,1,Clear,1,50,51,registered
159,Summer,2011,Jun,0,Wednesday,1,Clear,676,3725,4401,Non Active,Spring,2011,Jan,21,0,Friday,1,Clear,0,39,39,registered
160,Summer,2011,Jun,0,Thursday,1,Misty,563,3352,3915,Non Active,Spring,2011,Jan,22,0,Friday,1,Misty,2,34,36,registered
161,Summer,2011,Jun,0,Friday,1,Clear,815,3771,4586,Non Active,Spring,2011,Jan,23,0,Friday,1,Misty,1,14,15,registered
162,Summer,2011,Jun,0,Saturday,0,Clear,1729,3237,4966,Non Active,Spring,2011,Jan,0,0,Saturday,0,Misty,1,24,25,registered
163,Summer,2011,Jun,0,Sunday,0,Clear,1467,2993,4460,Non Active,Spring,2011,Jan,1,0,Saturday,0,Misty,1,15,16,registered
164,Summer,2011,Jun,0,Monday,1,Clear,863,4157,5020,Non Active,Spring,2011,Jan,2,0,Saturday,0,Misty,3,13,16,registered
165,Summer,2011,Jun,0,Tuesday,1,Clear,727,4164,4891,Non Active,Spring,2011,Jan,3,0,Saturday,0,Light_RainSnow,0,7,7,registered
166,Summer,2011,Jun,0,Wednesday,1,Clear,769,4411,5180,Non Active,Spring,2011,Jan,4,0,Saturday,0,Light_RainSnow,0,1,1,registered
167,Summer,2011,Jun,0,Thursday,1,Misty,545,3222,3767,Non Active,Spring,2011,Jan,5,0,Saturday,0,Misty,0,5,5,registered
168,Summer,2011,Jun,0,Friday,1,Clear,863,3981,4844,Non Active,Spring,2011,Jan,6,0,Saturday,0,Misty,0,2,2,registered
169,Summer,2011,Jun,0,Saturday,0,Clear,1807,3312,5119,Non Active,Spring,2011,Jan,7,0,Saturday,0,Misty,1,8,9,registered
170,Summer,2011,Jun,0,Sunday,0,Misty,1639,3105,4744,Non Active,Spring,2011,Jan,8,0,Saturday,0,Light_RainSnow,0,15,15,registered
171,Summer,2011,Jun,0,Monday,1,Misty,699,3311,4010,Non Active,Spring,2011,Jan,9,0,Saturday,0,Light_RainSnow,0,20,20,registered
172,Fall,2011,Jun,0,Tuesday,1,Misty,774,4061,4835,Non Active,Spring,2011,Jan,10,0,Saturday,0,Misty,5,56,61,registered
173,Fall,2011,Jun,0,Wednesday,1,Clear,661,3846,4507,Non Active,Spring,2011,Jan,11,0,Saturday,0,Misty,2,60,62,registered
174,Fall,2011,Jun,0,Thursday,1,Misty,746,4044,4790,Non Active,Spring,2011,Jan,12,0,Saturday,0,Misty,8,90,98,registered
175,Fall,2011,Jun,0,Friday,1,Clear,969,4022,4991,Non Active,Spring,2011,Jan,13,0,Saturday,0,Clear,7,95,102,registered
176,Fall,2011,Jun,0,Saturday,0,Clear,1782,3420,5202,Non Active,Spring,2011,Jan,14,0,Saturday,0,Clear,12,83,95,registered
177,Fall,2011,Jun,0,Sunday,0,Clear,1920,3385,5305,Non Active,Spring,2011,Jan,15,0,Saturday,0,Clear,5,69,74,registered
178,Fall,2011,Jun,0,Monday,1,Misty,854,3854,4708,Non Active,Spring,2011,Jan,16,0,Saturday,0,Clear,8,68,76,registered
179,Fall,2011,Jun,0,Tuesday,1,Clear,732,3916,4648,Non Active,Spring,2011,Jan,17,0,Saturday,0,Clear,5,64,69,registered
180,Fall,2011,Jun,0,Wednesday,1,Clear,848,4377,5225,Non Active,Spring,2011,Jan,18,0,Saturday,0,Clear,3,52,55,registered
181,Fall,2011,Jun,0,Thursday,1,Clear,1027,4488,5515,Non Active,Spring,2011,Jan,19,0,Saturday,0,Clear,4,26,30,registered
182,Fall,2011,Jul,0,Friday,1,Clear,1246,4116,5362,Non Active,Spring,2011,Jan,20,0,Saturday,0,Clear,0,28,28,registered
183,Fall,2011,Jul,0,Saturday,0,Clear,2204,2915,5119,Non Active,Spring,2011,Jan,21,0,Saturday,0,Clear,2,35,37,registered
184,Fall,2011,Jul,0,Sunday,0,Misty,2282,2367,4649,Non Active,Spring,2011,Jan,22,0,Saturday,0,Clear,1,33,34,registered
185,Fall,2011,Jul,1,Monday,0,Misty,3065,2978,6043,Non Active,Spring,2011,Jan,23,0,Saturday,0,Clear,0,22,22,registered
